id,v_21,v_32,v_15,v_4,v_1,v_8,v_12,v_25,v_20,v_18,v_3,v_11,v_14,v_26,v_27,v_30,v_9,v_31,v_28,v_13,v_33,v_17,v_19,v_29,v_23,v_24,v_10,v_5,v_6,v_22,v_0,v_7,v_2,v_16,v_34,v_35,v_36,v_37,v_38,v_39,v_40,label
26,4,116,10,20,0,12,16,1,6,23,39,0,0,0,1,1,0,32,0,14,29,55,19,16,3,15,24,36,8,13,12,16.2,0.3,-0.92,5,74,16,23,34,27,5,0
27,3,6,10,59,1,1,16,1,137,12,31,1,0,0,1,1,0,27,0,14,28,48,21,18,3,15,25,41,10,23,12,11.1,0.6,2.02,4,58,41,3,52,77,5,0
28,3,6,10,100,1,1,16,183,6,11,39,0,0,0,1,0,0,28,0,14,29,52,19,18,3,15,24,41,8,13,12,9.4,-0.8,-3.12,6,40,13,21,10,63,3,2
29,3,50,10,96,1,2,16,5,251,11,44,1,0,1,0,0,0,46,0,14,28,47,18,6,3,15,24,36,8,13,12,15.5,2.8,-4.06,2,92,32,34,3,43,5,0
30,12,14,16,104,1,10,21,117,170,109,90,0,1,1,0,1,1,31,0,20,33,58,26,22,5,18,27,37,15,20,12,14.7,11.7,0.30000000000000004,11,17,10,36,27,13,5,0
31,3,6,10,121,1,1,16,183,251,103,70,1,0,0,1,0,1,28,0,14,31,49,25,19,3,15,27,39,15,26,12,10.8,1.4,1.74,7,8,42,7,60,42,4,1
32,3,6,10,100,1,1,16,110,168,103,87,1,0,0,1,1,0,27,0,14,29,50,22,17,3,15,25,43,11,24,12,8.9,1.4,3.51,7,23,17,19,42,1,1,0
33,3,6,10,148,1,1,16,1,251,7,104,1,0,0,1,0,0,27,0,14,29,48,24,18,3,15,25,41,14,24,12,8.9,1.4,3.51,3,71,35,5,5,21,4,1
34,3,157,10,76,1,14,16,183,168,103,87,0,0,0,1,1,0,32,0,16,29,49,22,17,3,16,25,39,10,26,12,11.1,0.6,2.02,8,88,30,29,9,9,3,0
35,5,6,19,161,1,4,21,1,169,29,88,0,1,1,0,1,1,33,0,18,32,53,24,25,9,15,27,45,14,30,19,24.5,7.8,3.94,7,103,13,18,59,77,10,1
36,3,6,10,96,1,1,16,181,251,38,39,1,0,0,1,0,1,28,0,14,28,46,23,19,3,15,24,37,13,25,12,9.4,-0.8,-3.12,3,76,40,19,12,51,0,1
37,3,72,10,52,1,1,16,1,251,23,87,1,0,1,1,0,1,28,0,27,41,60,36,21,3,26,32,44,21,27,12,15.5,2.8,-4.06,5,59,47,0,59,69,0,1
38,9,14,15,157,1,4,25,5,252,15,35,0,0,1,0,1,1,28,1,14,31,54,24,11,6,24,33,45,14,18,15,18.4,1.5,1.79,7,71,2,2,38,26,9,0
39,3,6,13,155,1,1,16,1,137,103,104,1,0,0,1,0,1,30,0,14,29,48,23,19,3,15,25,38,13,26,12,12.4,0.5,1.79,0,47,46,13,32,53,2,1
40,11,7,19,59,1,2,22,8,38,16,16,0,1,1,0,1,1,31,0,17,34,57,26,18,13,19,33,47,18,28,14,11.4,0.2,-1.12,10,77,51,45,23,84,1,2
41,3,92,11,155,1,1,16,1,6,23,39,1,0,0,0,0,0,28,0,14,29,47,18,6,3,15,25,31,8,13,12,8.9,1.4,3.51,7,95,31,11,2,14,0,0
42,3,116,10,76,1,15,16,5,60,11,17,1,0,0,1,0,0,35,0,14,29,50,23,19,3,20,30,44,18,25,12,12.4,0.5,1.79,4,40,44,11,52,5,2,0
43,3,147,10,148,1,1,85,181,251,103,87,1,0,0,1,1,0,31,1,17,32,52,24,16,3,19,29,41,18,24,12,9.4,-0.8,-3.12,8,70,4,2,38,6,2,1
44,3,6,10,121,1,1,16,110,251,12,79,0,0,0,1,0,1,26,0,14,30,51,25,20,3,15,27,39,16,27,12,15.5,2.8,-4.06,3,81,7,2,36,26,3,1
45,3,6,15,121,1,1,16,183,168,12,31,1,0,0,1,1,0,26,0,14,30,48,25,19,3,15,27,39,16,27,12,12.4,0.5,1.79,9,63,16,22,58,66,2,1
46,8,147,17,101,1,1,18,187,176,197,305,1,1,0,0,1,1,27,0,16,31,53,25,21,7,18,28,47,19,29,19,16.9,2.7,2.79,6,77,37,20,23,70,9,2
47,3,6,10,121,1,1,16,110,278,38,79,0,0,0,1,0,0,27,0,14,30,41,18,6,3,15,27,31,8,13,12,16.2,0.3,-0.92,9,51,13,22,4,35,5,0
48,3,143,10,121,1,1,16,110,6,103,31,1,0,0,1,1,1,41,0,20,37,61,32,19,9,21,33,51,22,26,18,9.4,-0.8,-3.12,3,13,32,37,44,34,4,1
49,3,143,10,121,1,1,16,181,278,103,70,1,0,0,1,0,1,30,0,14,31,49,25,19,3,15,27,39,15,26,12,10.8,1.4,1.74,3,83,15,0,20,46,5,1
50,3,6,10,155,1,1,16,110,278,103,44,0,0,0,1,0,0,26,0,14,29,47,23,19,3,15,25,37,14,26,12,12.7,3.7,-1.7,7,18,7,40,44,70,1,1
51,8,90,22,161,1,9,19,8,6,24,49,0,1,1,0,1,0,31,0,19,33,53,31,26,6,16,33,39,14,34,13,10.4,3.2,1.88,7,24,53,21,9,21,9,0
52,3,6,10,100,1,1,16,181,251,103,87,1,0,0,1,0,0,27,0,14,29,51,22,16,3,15,25,39,14,23,12,11.1,0.6,2.02,2,29,35,20,51,66,5,1
53,3,143,10,121,1,1,129,5,6,12,104,1,0,0,0,0,0,41,1,15,30,51,23,18,3,15,25,38,13,24,12,12.4,0.5,1.79,7,34,28,37,8,5,3,0
54,6,11,15,129,1,3,16,10,14,30,39,0,1,1,0,1,1,28,0,16,37,48,33,23,3,23,33,39,22,36,19,19.4,6.5,10.79,15,76,41,10,46,81,7,1
55,9,149,17,174,1,2,18,188,168,20,108,0,1,1,0,1,1,56,0,22,28,55,22,17,5,21,28,47,9,26,14,13.9,4.7,0.79,15,41,1,37,21,15,8,0
56,3,6,13,121,1,1,16,62,6,30,104,0,0,0,1,0,1,27,0,14,30,50,23,20,3,15,26,40,15,24,12,12.4,0.5,1.79,0,17,1,25,30,41,4,2
57,4,143,10,167,0,6,16,181,251,103,87,0,0,0,1,1,0,45,0,14,28,51,23,21,3,15,24,36,13,30,12,9.4,-0.8,-3.12,3,3,23,6,7,12,4,2
58,3,92,10,59,1,1,16,5,168,12,44,0,0,0,1,1,1,26,0,14,28,46,18,6,3,15,24,36,8,13,12,9.4,-0.8,-3.12,7,32,46,26,56,78,3,0
59,4,116,10,167,0,9,16,181,242,121,131,1,0,0,1,0,0,58,0,14,28,41,18,6,3,15,24,31,8,13,12,7.6,2.6,0.32,7,4,28,21,12,45,0,0
60,3,6,10,121,1,1,16,181,168,103,87,1,0,0,1,1,0,27,0,14,30,48,25,19,3,15,27,39,16,27,12,11.1,0.6,2.02,6,72,14,10,22,24,3,1
61,13,149,18,173,1,5,24,190,251,105,96,0,1,1,1,1,1,42,0,31,43,64,40,20,12,35,38,50,25,30,16,17.4,5.2,-0.1200000000000001,14,98,55,29,20,52,10,0
62,11,151,11,168,1,5,20,11,174,11,21,0,0,1,0,1,1,48,0,20,32,53,27,14,8,24,27,40,17,16,20,19.8,10.4,8.74,9,14,49,16,21,80,1,0
63,10,89,20,100,1,4,21,9,64,12,36,0,1,1,0,1,1,30,0,22,35,52,28,26,10,20,33,40,19,32,13,17.4,4.2,1.88,5,93,47,47,36,36,7,1
64,3,6,11,146,1,1,16,183,6,103,31,1,0,0,1,0,0,26,0,14,30,49,25,19,3,15,27,39,16,28,12,16.2,0.3,-0.92,8,50,37,28,26,63,5,1
65,3,147,10,54,1,1,16,1,278,12,87,1,0,0,1,0,1,28,0,19,35,53,30,19,3,20,31,43,19,25,12,15.5,2.8,-4.06,5,22,50,22,36,46,1,1
66,3,116,10,52,1,1,16,181,251,103,87,1,0,0,1,1,0,51,0,14,29,50,24,20,3,15,25,42,13,25,12,13.9,-0.3,0.79,5,78,38,40,15,55,2,1
67,3,6,10,20,0,1,16,5,6,11,87,1,0,0,1,1,0,34,0,14,29,47,24,17,3,15,25,37,14,24,12,10.8,1.4,1.74,9,51,19,29,23,68,4,2
68,3,116,10,59,1,1,16,181,168,103,31,0,0,0,1,1,1,36,0,14,28,57,21,20,3,15,24,40,13,25,12,9.4,-0.8,-3.12,2,18,45,38,0,59,2,2
69,3,147,13,121,1,6,16,183,251,30,87,1,0,0,1,0,1,27,0,14,30,48,24,19,3,15,26,38,14,26,12,7.6,2.6,0.32,6,32,33,27,20,7,1,1
70,11,155,11,81,1,2,18,186,61,17,22,0,1,1,0,1,1,31,1,22,37,55,22,13,15,23,27,39,20,32,22,19.8,7.4,3.74,13,17,52,14,13,33,6,1
71,12,14,17,149,1,4,17,9,254,23,96,0,1,0,0,1,1,33,0,16,36,50,32,24,6,24,33,43,17,29,16,12.4,-0.8,-1.12,8,88,53,5,22,34,9,1
72,3,6,11,121,1,1,16,1,168,11,70,1,0,0,1,0,0,29,0,14,30,48,25,18,3,15,27,39,16,27,12,11.1,0.6,2.02,6,85,12,24,0,36,0,1
73,3,89,12,158,1,1,16,181,251,30,87,1,1,0,1,0,1,27,0,14,29,47,24,19,3,15,25,39,13,25,12,12.7,3.7,-1.7,0,45,50,11,55,74,4,0
74,5,116,12,176,1,5,21,187,252,105,89,0,1,1,0,1,1,37,0,20,32,50,28,21,4,17,32,36,9,18,16,14.6,9.6,2.32,7,58,44,10,17,45,6,0
75,3,147,10,54,1,1,16,62,137,7,104,0,0,1,1,1,0,29,0,19,34,53,27,17,3,18,27,42,11,26,12,15.5,2.8,-4.06,0,66,12,28,33,62,4,0
76,4,116,10,158,1,9,16,181,251,38,79,0,0,0,1,0,0,49,0,14,29,41,18,6,3,15,25,31,8,13,12,16.2,0.3,-0.92,5,29,21,31,18,24,2,0
77,3,6,11,121,1,1,16,110,168,103,87,0,0,0,1,0,0,26,0,14,30,49,24,19,3,15,27,43,15,25,12,16.2,0.3,-0.92,2,65,27,9,57,35,2,1
78,3,116,10,167,0,1,16,5,278,11,70,0,0,0,1,1,0,39,0,14,28,46,18,6,3,15,24,38,8,13,12,13.9,-0.3,0.79,4,64,38,24,51,67,0,0
79,3,89,10,96,1,1,16,1,278,23,44,1,0,0,1,0,0,27,0,14,28,51,19,17,3,15,24,44,8,13,12,12.7,3.7,-1.7,0,47,26,33,8,37,3,2
80,3,6,11,148,1,1,16,181,251,103,87,0,0,0,1,0,0,30,0,14,28,49,21,18,3,15,24,40,10,24,13,7.6,2.6,0.32,3,37,19,38,30,41,0,2
81,3,89,10,59,1,1,16,1,60,103,104,1,0,0,1,1,0,28,0,14,28,48,22,18,3,15,24,39,10,25,12,10.8,1.4,1.74,6,61,42,11,10,46,4,2
82,12,9,18,155,1,8,24,9,174,18,52,0,0,1,0,1,1,28,1,22,33,50,28,25,12,24,26,39,15,28,15,16.5,6.8,2.9400000000000004,6,62,46,29,53,42,11,1
83,3,89,10,59,1,1,16,110,168,103,87,0,0,0,1,1,0,28,0,14,28,47,23,21,3,15,24,39,13,26,12,11.1,0.6,2.02,5,78,39,20,44,33,0,2
84,3,6,14,102,1,1,16,110,251,103,87,0,0,0,1,0,1,27,0,14,29,49,23,17,3,15,25,38,13,25,12,8.9,1.4,3.51,4,38,37,24,10,38,3,1
85,3,147,10,76,1,1,16,5,60,11,17,0,0,0,1,0,0,28,0,24,40,70,32,18,7,22,31,55,20,25,13,15.5,2.8,-4.06,7,65,21,12,58,22,5,1
86,11,14,17,100,1,1,19,4,176,24,43,1,1,1,0,1,1,31,0,15,29,55,26,25,3,18,31,43,17,34,21,13.4,5.5,6.79,7,59,27,40,62,61,9,1
87,3,89,10,158,1,1,16,183,137,38,5,0,0,0,0,0,1,28,0,14,29,51,22,18,3,15,25,45,11,23,12,7.6,2.6,0.32,8,27,30,4,8,47,4,0
88,10,121,12,14,1,3,138,189,258,112,86,1,1,1,0,1,0,49,0,17,31,66,23,18,8,24,29,42,15,21,20,21.2,9.3,0.07999999999999996,7,45,55,12,23,63,4,0
89,8,147,13,167,1,3,137,184,258,109,84,0,1,1,0,1,1,50,0,25,29,46,21,25,7,20,20,33,18,29,21,12.8,2.4,8.74,14,74,27,37,61,81,7,0
90,3,6,10,17,1,1,16,5,6,23,39,1,0,0,1,0,0,26,0,14,23,41,18,6,3,15,19,31,8,13,12,12.4,0.5,1.79,0,32,5,33,56,18,5,1
91,3,116,10,102,1,14,16,1,6,30,104,0,0,0,0,1,0,34,0,14,29,41,18,6,3,15,25,31,8,13,12,16.2,0.3,-0.92,7,57,5,31,14,16,5,0
92,3,6,11,102,1,1,16,1,278,23,87,1,0,0,1,0,0,26,0,14,29,51,22,17,3,15,25,44,12,23,12,7.6,2.6,0.32,6,100,44,39,41,20,1,0
93,3,6,10,121,1,1,16,3,33,12,31,1,0,0,1,1,0,26,0,14,30,49,24,17,3,15,26,39,14,24,12,7.6,2.6,0.32,9,33,7,34,18,62,4,2
94,3,6,12,121,1,1,16,1,251,38,70,1,0,0,1,0,0,27,0,14,31,52,25,19,3,15,27,42,15,26,12,10.8,1.4,1.74,3,31,37,15,57,18,1,1
95,6,7,15,156,1,10,23,4,13,105,94,1,1,0,0,0,1,27,0,16,35,50,25,26,8,20,31,44,21,33,17,18.2,9.3,7.08,2,91,32,34,20,31,2,1
96,8,9,19,127,1,6,16,118,171,7,43,0,1,1,0,1,1,34,0,19,40,53,29,20,7,22,32,48,19,35,14,18.4,0.2,0.8799999999999999,3,54,16,25,56,50,6,1
97,3,6,10,96,1,1,16,181,251,103,87,1,0,0,1,0,0,28,0,14,28,50,20,16,3,15,24,41,10,24,12,7.6,2.6,0.32,2,13,16,0,59,23,2,2
98,9,153,12,148,1,17,21,110,60,40,104,0,1,1,0,1,1,38,0,22,29,55,31,26,5,20,31,44,12,35,15,17.2,6.3,0.07999999999999996,13,48,48,6,36,8,9,2
99,3,6,10,76,1,1,16,110,251,103,79,1,0,0,1,1,0,26,0,14,28,46,23,21,3,15,24,36,13,28,12,12.7,3.7,-1.7,3,91,50,28,51,35,4,0
100,3,6,12,121,1,1,16,183,278,30,44,1,0,0,1,0,1,27,0,14,30,50,24,17,3,15,27,39,15,26,12,13.9,-0.3,0.79,9,42,31,32,5,54,5,1
101,3,147,10,167,0,3,16,181,251,103,87,0,0,0,1,0,0,45,0,21,37,62,30,17,3,26,31,46,19,24,12,12.7,3.7,-1.7,6,5,5,4,39,11,0,1
102,3,143,10,59,1,1,16,110,168,121,131,0,0,1,0,1,0,39,0,14,27,45,18,6,3,15,24,36,8,13,12,12.7,3.7,-1.7,1,49,0,19,3,62,4,0
103,3,6,10,100,1,1,16,1,168,23,39,0,0,0,0,0,0,26,0,14,29,47,24,20,3,15,25,37,14,28,12,10.8,1.4,1.74,9,36,34,36,11,3,2,1
104,4,116,10,55,1,1,16,174,246,152,44,0,0,0,0,0,1,36,0,14,28,55,19,18,6,15,24,36,8,13,17,9.4,-0.8,-3.12,7,58,25,32,28,64,4,0
105,9,96,18,109,1,1,17,184,251,103,78,0,1,1,0,1,1,36,0,15,38,51,29,25,3,23,27,52,17,30,12,19.8,3.4,2.74,13,16,11,4,17,50,11,0
106,3,69,10,96,1,1,114,181,33,36,39,0,0,1,1,1,0,27,1,14,28,53,21,16,3,15,24,39,12,24,12,12.4,0.5,1.79,6,46,11,32,18,65,3,1
107,3,89,10,102,1,1,16,110,168,30,44,0,0,0,1,0,1,28,0,14,29,51,22,17,3,15,25,37,14,23,12,12.4,0.5,1.79,3,77,1,6,24,64,3,2
108,33,116,10,100,1,1,16,181,251,103,87,1,0,0,1,0,1,47,0,14,29,48,24,20,3,15,25,38,13,27,12,12.7,3.7,-1.7,6,24,50,40,11,56,0,1
109,3,89,10,158,1,1,16,1,278,23,104,1,0,0,1,0,0,26,0,14,29,51,22,19,3,15,25,40,13,26,12,9.4,-0.8,-3.12,5,48,40,19,24,23,4,1
110,3,116,10,121,1,3,16,5,251,11,104,0,0,0,1,0,0,36,0,14,30,50,25,23,3,16,27,40,16,29,12,15.5,2.8,-4.06,1,79,1,19,58,59,0,1
111,3,89,11,54,1,1,16,181,278,103,104,1,0,0,1,1,1,31,0,14,29,49,24,19,3,15,25,38,13,25,12,9.4,-0.8,-3.12,1,31,28,18,41,62,5,1
112,3,6,13,121,1,1,16,110,168,12,31,1,0,0,1,0,0,27,0,14,30,53,22,18,3,15,26,38,15,25,12,11.1,0.6,2.02,6,25,17,20,33,70,5,2
113,3,157,10,17,1,14,16,1,6,103,87,0,0,0,1,1,0,29,0,14,23,41,18,6,3,15,19,31,8,13,12,15.5,2.8,-4.06,6,57,31,23,54,9,5,2
114,11,94,11,157,1,5,19,186,258,3,41,0,1,1,0,1,0,29,0,15,35,59,19,6,10,24,32,40,14,18,20,16.4,5.2,4.88,9,1,45,38,35,67,10,0
115,3,89,11,146,1,1,129,1,6,38,70,1,0,0,1,0,0,28,1,14,30,49,25,18,3,15,27,39,16,27,12,15.5,2.8,-4.06,3,1,50,11,7,33,4,1
116,3,92,12,155,1,1,16,110,6,103,87,1,0,0,1,1,0,27,0,14,29,50,22,18,3,15,25,37,14,24,12,10.8,1.4,1.74,4,73,5,27,33,3,1,0
117,5,15,18,101,1,4,19,118,279,106,90,0,1,0,0,1,1,33,0,21,33,54,25,18,4,23,33,46,20,35,14,18.2,6.3,1.08,4,91,29,44,55,77,3,1
118,3,89,10,76,1,1,16,1,6,23,44,0,0,0,1,0,0,26,0,14,28,48,22,18,3,15,24,37,13,25,12,7.6,2.6,0.32,6,40,32,40,9,6,1,1
119,4,143,10,102,1,1,16,3,33,193,161,1,0,0,1,1,0,30,0,16,29,54,22,17,3,17,25,43,10,25,12,7.6,2.6,0.32,5,74,18,25,29,78,4,0
120,12,97,13,60,1,1,17,185,175,104,48,0,1,1,0,1,1,26,0,19,37,50,23,21,5,16,25,45,15,29,13,13.6,9.6,5.32,9,20,28,37,24,53,9,2
121,3,124,19,123,1,15,18,188,280,260,270,0,1,1,1,1,1,35,0,16,33,55,27,20,3,21,28,45,18,28,21,19.4,2.5,7.79,10,76,38,43,44,60,6,2
122,3,89,10,100,1,1,16,183,278,38,70,1,0,0,1,0,1,26,0,14,29,47,24,17,3,15,25,38,14,25,12,15.5,2.8,-4.06,9,38,16,1,16,74,4,1
123,4,116,10,20,0,1,16,181,251,103,87,0,0,0,0,1,0,43,0,14,29,47,24,20,3,15,25,37,14,27,12,9.4,-0.8,-3.12,7,21,35,4,55,35,1,1
124,3,89,14,96,1,1,16,181,278,30,44,0,0,0,1,0,1,26,0,14,28,48,23,17,3,15,24,42,13,24,16,16.2,0.3,-0.92,8,34,48,23,52,24,1,1
125,3,6,11,155,1,1,16,183,251,30,31,1,0,1,0,0,0,26,0,14,29,49,24,20,3,15,25,37,13,25,12,13.9,-0.3,0.79,2,15,17,8,25,62,0,0
126,33,116,10,20,0,1,16,181,251,103,70,0,0,0,1,0,1,51,0,14,29,47,18,6,3,15,24,36,8,13,12,8.9,1.4,3.51,9,14,32,23,58,2,1,0
127,3,6,13,96,1,1,16,1,168,23,45,1,0,0,1,0,0,32,0,14,28,52,20,16,3,15,24,45,9,24,12,12.7,3.7,-1.7,6,92,38,39,30,9,5,2
128,3,147,10,76,1,1,129,5,66,12,17,0,0,0,1,0,0,27,1,14,28,51,23,20,5,15,24,38,13,28,12,9.4,-0.8,-3.12,1,42,49,16,15,43,3,2
129,3,147,10,59,1,1,16,1,278,23,70,0,0,0,1,1,0,27,0,14,28,49,23,18,3,15,24,43,10,23,12,13.9,-0.3,0.79,8,19,9,35,49,71,1,2
130,10,98,15,103,1,4,18,111,283,38,46,0,1,1,0,1,1,34,0,17,34,57,26,17,12,15,33,47,19,32,14,23.5,6.8,0.9400000000000004,6,98,46,20,29,18,5,1
131,3,6,10,148,1,1,16,1,6,103,13,1,0,0,1,0,1,28,0,14,29,49,22,17,3,15,25,41,14,25,12,10.8,1.4,1.74,5,28,42,27,27,33,5,1
132,10,11,20,101,1,4,23,119,172,108,88,0,1,1,0,1,1,36,0,19,33,43,27,6,11,21,34,31,17,18,13,15.4,5.5,5.79,11,74,24,20,24,15,7,0
133,3,89,11,96,1,1,16,181,168,103,79,1,0,0,1,0,1,26,0,14,28,49,23,17,3,15,24,41,13,24,15,16.2,0.3,-0.92,2,7,27,9,52,48,5,1
134,4,116,10,55,1,7,16,1,6,23,39,1,0,0,0,1,0,37,0,14,28,53,18,6,7,15,24,39,8,13,13,9.4,-0.8,-3.12,7,84,24,21,57,18,0,0
135,3,6,12,146,1,1,16,183,251,38,70,1,0,0,1,0,0,27,0,14,30,50,25,17,3,15,27,39,16,26,12,12.7,3.7,-1.7,2,80,35,24,16,51,2,1
136,3,116,10,20,0,1,16,165,242,3,5,1,0,0,1,1,0,37,0,14,29,51,18,6,4,15,24,41,8,13,12,7.6,2.6,0.32,9,58,6,17,21,50,2,0
137,3,147,10,52,1,1,16,1,33,23,17,0,0,0,1,1,0,36,0,23,41,77,35,19,4,21,31,46,20,25,12,15.5,2.8,-4.06,0,44,45,10,53,14,0,1
138,3,147,10,54,1,1,16,110,278,103,70,0,0,0,1,1,0,34,0,23,37,55,32,20,3,22,32,44,21,26,12,15.5,2.8,-4.06,6,78,10,27,53,49,5,1
139,3,157,10,76,1,14,16,181,251,36,45,1,0,0,1,1,0,30,0,14,28,48,22,20,3,15,24,36,13,27,12,10.8,1.4,1.74,3,87,4,37,1,26,3,1
140,3,147,14,20,0,1,16,165,242,3,5,0,0,0,1,1,0,45,0,14,29,53,18,6,3,15,24,41,8,13,12,7.6,2.6,0.32,5,65,33,9,7,21,3,0
141,5,11,13,22,1,1,16,219,317,24,46,0,1,1,0,1,1,28,0,15,32,43,26,14,5,18,26,34,15,17,18,13.1,0.6,9.02,17,23,54,42,62,11,7,1
142,3,147,10,100,1,1,16,181,251,103,45,1,0,0,1,0,0,36,0,22,34,52,27,17,3,23,30,44,17,25,12,10.8,1.4,1.74,1,95,12,28,18,37,4,1
143,12,91,24,130,1,10,18,5,286,18,39,0,1,0,0,1,0,34,0,17,33,53,32,27,3,24,36,47,18,26,21,14.1,9.6,5.02,7,89,10,35,7,31,7,1
144,4,116,10,20,0,1,16,181,251,103,87,1,0,0,1,0,0,41,0,14,29,48,24,18,3,15,25,39,14,25,12,12.4,0.5,1.79,6,47,19,22,52,6,5,1
145,3,50,10,146,1,2,16,181,251,103,87,1,0,0,1,0,1,44,0,14,30,50,19,15,3,15,26,38,8,13,12,12.7,3.7,-1.7,2,68,4,14,28,64,5,0
146,3,6,13,121,1,1,16,5,291,11,31,1,0,0,1,0,0,26,0,14,30,49,25,18,3,15,27,40,16,26,12,16.2,0.3,-0.92,3,50,20,32,23,10,0,0
